

     Summary: group layer ops

group_layer,group_conv_ops,ic,ih,iw,iact_size,oc,oh,ow,oact_size
Input_0,0,0,0,0,0,3,416,416,519168
Conv2d_1,956666880,3,416,416,519168,64,208,208,2768896
Shortcut_0,898826240,64,208,208,2768896,64,208,208,2768896
Conv2d_4,797442048,64,208,208,2768896,128,104,104,1384448
Shortcut_1,897974272,128,104,104,1384448,128,104,104,1384448
Shortcut_2,897974272,128,104,104,1384448,128,104,104,1384448
Conv2d_9,797442048,128,104,104,1384448,256,52,52,692224
Shortcut_3,896270336,256,52,52,692224,256,52,52,692224
Shortcut_4,896270336,256,52,52,692224,256,52,52,692224
Shortcut_5,896270336,256,52,52,692224,256,52,52,692224
Shortcut_6,896270336,256,52,52,692224,256,52,52,692224
Shortcut_7,896270336,256,52,52,692224,256,52,52,692224
Shortcut_8,896270336,256,52,52,692224,256,52,52,692224
Shortcut_9,896270336,256,52,52,692224,256,52,52,692224
Shortcut_10,896270336,256,52,52,692224,256,52,52,692224
Conv2d_26,797442048,256,52,52,692224,512,26,26,346112
Shortcut_11,906493952,512,26,26,346112,512,26,26,346112
Shortcut_12,906493952,512,26,26,346112,512,26,26,346112
Shortcut_13,906493952,512,26,26,346112,512,26,26,346112
Shortcut_14,906493952,512,26,26,346112,512,26,26,346112
Shortcut_15,906493952,512,26,26,346112,512,26,26,346112
Shortcut_16,906493952,512,26,26,346112,512,26,26,346112
Shortcut_17,906493952,512,26,26,346112,512,26,26,346112
Shortcut_18,906493952,512,26,26,346112,512,26,26,346112
Conv2d_43,797442048,512,26,26,346112,1024,13,13,173056
Shortcut_19,926941184,1024,13,13,173056,1024,13,13,173056
Shortcut_20,926941184,1024,13,13,173056,1024,13,13,173056
Shortcut_21,926941184,1024,13,13,173056,1024,13,13,173056
Shortcut_22,926941184,1024,13,13,173056,1024,13,13,173056
Conv2d_52,88604672,1024,13,13,173056,512,13,13,86528
Conv2d_53,797442048,512,13,13,86528,1024,13,13,173056
Conv2d_54,88604672,1024,13,13,173056,512,13,13,86528
Conv2d_55,797442048,512,13,13,86528,1024,13,13,173056
Conv2d_56,88604672,1024,13,13,173056,512,13,13,86528
Conv2d_57,797442048,512,13,13,86528,1024,13,13,173056
Conv2d_59,22151168,512,13,13,86528,256,13,13,43264
Upsample_0,0,256,13,13,43264,256,26,26,173056
Route_1,0,256,26,26,173056,768,26,26,519168
Conv2d_60,132907008,768,26,26,519168,256,26,26,173056
Conv2d_61,797442048,256,26,26,173056,512,26,26,346112
Conv2d_62,88604672,512,26,26,346112,256,26,26,173056
Conv2d_63,797442048,256,26,26,173056,512,26,26,346112
Conv2d_64,88604672,512,26,26,346112,256,26,26,173056
Conv2d_65,797442048,256,26,26,173056,512,26,26,346112
Conv2d_67,22151168,256,26,26,173056,128,26,26,86528
Upsample_1,0,128,26,26,86528,128,52,52,346112
Route_3,0,128,52,52,346112,384,52,52,1038336
Conv2d_68,132907008,384,52,52,1038336,128,52,52,346112
Conv2d_69,797442048,128,52,52,346112,256,52,52,692224
Conv2d_70,88604672,256,52,52,692224,128,52,52,346112
Conv2d_71,797442048,128,52,52,346112,256,52,52,692224
Conv2d_72,88604672,256,52,52,692224,128,52,52,346112
Conv2d_73,797442048,128,52,52,346112,256,52,52,692224
Conv2d_74,51916800,256,52,52,692224,75,52,52,202800
Conv2d_66,25958400,512,26,26,346112,75,26,26,50700
Conv2d_58,12979200,1024,13,13,173056,75,13,13,12675
YoloPostProcess,0,75,13,13,12675,0,0,0,0


     Layer ops

group_layer,layer_name,type,ops,r,s,c,k,g,h,w,ops_
Input_0,Input_0,LayerType.Input,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_0,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_0,LayerType.Conv2d,5750784,3,3,3,32,1,16,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_0,LayerType.Conv2d,30670848,3,3,32,64,1,8,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_1,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_1,LayerType.Conv2d,6110208,3,3,3,32,1,17,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_1,LayerType.Conv2d,30670848,3,3,32,64,1,8,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_2,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_2,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_2,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_3,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_3,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_3,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_4,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_4,LayerType.Conv2d,6110208,3,3,3,32,1,17,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_4,LayerType.Conv2d,30670848,3,3,32,64,1,8,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_5,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_5,LayerType.Conv2d,6110208,3,3,3,32,1,17,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_5,LayerType.Conv2d,30670848,3,3,32,64,1,8,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_6,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_6,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_6,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_7,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_7,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_7,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_8,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_8,LayerType.Conv2d,6110208,3,3,3,32,1,17,416,r * s * c * (k // g) * h * w
