name,type,ops,r,s,c,k,g,h,w,ops_
input.1,,0,0,0,0,0,0,0,0,
PartSlice_G_IR_0,,0,0,0,0,0,0,0,0,
Clip_2.G_IR_0,conv,1684800,3,3,3,32,1,13,150,r * s * c * (k // g) * h * w
Clip_5.G_swap_0,conv,518400,3,3,32,32,32,12,150,r * s * c * (k // g) * h * w
BatchNormalization_7.G_swap_0,conv,921600,1,1,32,16,1,12,150,r * s * c * (k // g) * h * w
PartSlice_G_IR_1,,0,0,0,0,0,0,0,0,
Clip_2.G_IR_1,conv,1555200,3,3,3,32,1,12,150,r * s * c * (k // g) * h * w
Clip_5.G_swap_1,conv,432000,3,3,32,32,32,10,150,r * s * c * (k // g) * h * w
BatchNormalization_7.G_swap_1,conv,768000,1,1,32,16,1,10,150,r * s * c * (k // g) * h * w
PartSlice_G_IR_2,,0,0,0,0,0,0,0,0,
Clip_2.G_IR_2,conv,1555200,3,3,3,32,1,12,150,r * s * c * (k // g) * h * w
Clip_5.G_swap_2,conv,432000,3,3,32,32,32,10,150,r * s * c * (k // g) * h * w
BatchNormalization_7.G_swap_2,conv,768000,1,1,32,16,1,10,150,r * s * c * (k // g) * h * w
PartSlice_G_IR_3,,0,0,0,0,0,0,0,0,
Clip_2.G_IR_3,conv,1555200,3,3,3,32,1,12,150,r * s * c * (k // g) * h * w
Clip_5.G_swap_3,conv,432000,3,3,32,32,32,10,150,r * s * c * (k // g) * h * w
BatchNormalization_7.G_swap_3,conv,768000,1,1,32,16,1,10,150,r * s * c * (k // g) * h * w
PartSlice_G_IR_4,,0,0,0,0,0,0,0,0,
Clip_2.G_IR_4,conv,1555200,3,3,3,32,1,12,150,r * s * c * (k // g) * h * w
Clip_5.G_swap_4,conv,432000,3,3,32,32,32,10,150,r * s * c * (k // g) * h * w
BatchNormalization_7.G_swap_4,conv,768000,1,1,32,16,1,10,150,r * s * c * (k // g) * h * w
PartSlice_G_IR_5,,0,0,0,0,0,0,0,0,
Clip_2.G_IR_5,conv,1555200,3,3,3,32,1,12,150,r * s * c * (k // g) * h * w
Clip_5.G_swap_5,conv,432000,3,3,32,32,32,10,150,r * s * c * (k // g) * h * w
BatchNormalization_7.G_swap_5,conv,768000,1,1,32,16,1,10,150,r * s * c * (k // g) * h * w
PartSlice_G_IR_6,,0,0,0,0,0,0,0,0,
Clip_2.G_IR_6,conv,1555200,3,3,3,32,1,12,150,r * s * c * (k // g) * h * w
Clip_5.G_swap_6,conv,432000,3,3,32,32,32,10,150,r * s * c * (k // g) * h * w
BatchNormalization_7.G_swap_6,conv,768000,1,1,32,16,1,10,150,r * s * c * (k // g) * h * w
PartSlice_G_IR_7,,0,0,0,0,0,0,0,0,
Clip_2.G_IR_7,conv,1555200,3,3,3,32,1,12,150,r * s * c * (k // g) * h * w
Clip_5.G_swap_7,conv,432000,3,3,32,32,32,10,150,r * s * c * (k // g) * h * w
